video_gameLabel,Entities,genre,platform,gameModes,inputDevice
Overlord,Q7113814,combat flight simulator game,DOS; Commodore Amiga,single-player video game,
Overtake,Q7113995,arcade-style video game,Sharp X68000,single-player video game,
Overturn,Q7114062,action game,Microsoft Windows; Wii,multiplayer video game; single-player video game,Wii Remote; Wii Balance Board
P-O-X,Q7116899,,,,
P. P. Hammer and his Pneumatic Weapon,Q7117450,platform game; puzzle video game,Commodore Amiga; Commodore 64,,
PC Play & Learn,Q7118711,,,,
PDC World Championship Darts,Q7118771,sports video game,PlayStation 2; Microsoft Windows,multiplayer video game; single-player video game,gamepad
PDC World Championship Darts 2009,Q7118772,sports video game,Nintendo DS; Wii,multiplayer video game; single-player video game,gamepad
PDC World Championship Darts 2008,Q7118774,sports video game,PlayStation 2; Microsoft Windows; Xbox 360; Wii,multiplayer video game; single-player video game,gamepad
PDC World Championship Darts Pro Tour,Q7118775,darts video game,PlayStation 3; Xbox 360; Wii,,
PGA Championship Golf 2000,Q7119131,sports video game,Microsoft Windows,single-player video game,
PGA Tour Golf Team Challenge,Q7119142,golf video game,arcade video game machine,,
PO'ed,Q7119903,first-person shooter,3DO Interactive Multiplayer,single-player video game,
POD 2,Q7119916,racing video game,Dreamcast,,
PP: Pianissimo,Q7120080,mystery fiction; visual novel; eroge,Microsoft Windows,single-player video game,
PQ2: Practical Intelligence Quotient 2,Q7120221,puzzle video game,PlayStation Portable,single-player video game,
PQ: Practical Intelligence Quotient,Q7120225,puzzle video game,PlayStation Portable,single-player video game,
PRISM: Guard Shield,Q7120319,first-person shooter,Microsoft Windows,,
PT-109,Q7120933,simulation video game,DOS; Classic Mac OS,single-player video game,
PT Boats: Knights of the Sea,Q7121059,simulation video game,Microsoft Windows,single-player video game,computer keyboard
Pac-In-Time,Q7121840,platform game,DOS; Super Nintendo Entertainment System; Classic Mac OS; Game Boy,single-player video game,
Pac-Man: Adventures in Time,Q7121841,maze video game,Microsoft Windows,multiplayer video game; single-player video game,
Pac-Man Battle Royale,Q7121842,maze video game; arcade-style video game,arcade video game machine,,
Pac-Man Arrangement,Q7121843,,,,
Pac-Man Championship Edition DX,Q7121845,maze video game; arcade-style video game,Android; iOS; Microsoft Windows; Windows Phone,single-player video game,touchscreen
Pac-Man Fever,Q7121847,crossover fiction,PlayStation 2; Nintendo GameCube,multiplayer video game; single-player video game,
Pac-Man Pinball Advance,Q7121849,pinball machine game,Game Boy Advance,single-player video game,
Pac-Man VR,Q7121851,,,,
PacMania,Q7121856,,Microsoft Windows,,
Pachi-Slot Adventure,Q7122027,gambling,Nintendo Entertainment System,single-player video game,
PachiPara DL Hyper Sea Story In Karibu,Q7122028,casino game,PlayStation 3,single-player video game,gamepad
Pachicom,Q7122035,parlour game,Nintendo Entertainment System; Family Computer Disk System; MSX,multiplayer video game; single-player video game,
Pacific General,Q7122462,turn-based strategy video game; war,Microsoft Windows,multiplayer video game; single-player video game,mouse
Pacific Islands,Q7122513,strategy video game,DOS,single-player video game,
Packy and Marlon,Q7123064,platform game,Super Nintendo Entertainment System,single-player video game,
