video_gameLabel,Entities,genre,platform,gameModes,inputDevice
The Karate Kid,Q210271,platform game,Nintendo Entertainment System,single-player video game; multiplayer video game,
Destiny,Q210275,science fiction video game; first-person shooter; action role-playing game,PlayStation 3; Xbox One; Xbox 360; PlayStation 4,multiplayer video game,gamepad
Call of Duty 2,Q210298,first-person shooter,Microsoft Windows; macOS; Xbox 360,single-player video game; multiplayer video game,
Darwinia,Q210552,hybrid literary genre; real-time tactics; real-time strategy,Microsoft Windows; Linux; macOS; Classic Mac OS,single-player video game,computer keyboard
Spore,Q210844,science fiction video game; role-playing video game; life simulation game; god game; real-time strategy,Microsoft Windows; macOS,single-player video game,computer keyboard
Last Bullet,Q211007,adventure game,Nintendo DS,single-player video game,
Call of Duty,Q211096,first-person shooter,Xbox 360; macOS; Microsoft Windows; PlayStation 3; N-Gage,single-player video game; multiplayer video game,mouse; computer keyboard
Assassin's Creed II,Q211735,stealth game; action-adventure game; third-person shooter,Xbox 360; Microsoft Windows; Xbox One; PlayStation 4; PlayStation 3; macOS,single-player video game,gamepad
DK: King of Swing,Q211858,puzzle video game,Game Boy Advance,single-player video game; multiplayer video game,
Mafia,Q213217,third-person shooter; vehicular combat game,Microsoft Windows; PlayStation 2; Xbox,single-player video game,computer keyboard
The Legend of Zelda: Ocarina of Time,Q213911,action-adventure game,iQue Player; Nintendo 64; Nintendo 3DS; Wii; Virtual Console; Nintendo GameCube,single-player video game,gamepad
Metin2,Q268616,massively multiplayer online role-playing game,Microsoft Windows,multiplayer video game,mouse; computer keyboard
Shiren the Wanderer,Q268867,role-playing video game,Wii,,
Catacomb 3-D,Q269487,first-person shooter,DOS,single-player video game,computer keyboard
Luxor,Q270477,puzzle video game,Android; Microsoft Windows; iOS; PlayStation Portable; macOS,single-player video game,mouse; computer keyboard; gamepad; touchscreen
Age of Mythology,Q271062,real-time strategy,Microsoft Windows; macOS; Classic Mac OS,co-op mode; single-player video game; multiplayer video game,computer keyboard
Portal,Q274897,science fiction video game; first-person shooter; puzzle video game; science fiction,Android; Linux; Xbox 360; Microsoft Windows; PlayStation 3; macOS,single-player video game; multiplayer video game,computer keyboard; touchscreen
Super Ghouls 'n Ghosts,Q275122,platform game,Super Nintendo Entertainment System; Game Boy Advance,single-player video game,
Resident Evil 4,Q275950,survival horror; action-adventure game; third-person shooter,Wii; Android; Xbox 360; Microsoft Windows; Zeebo; Xbox One; PlayStation 2; PlayStation Portable; iOS; Nintendo Switch; PlayStation 3; PlayStation 4; Nintendo GameCube,single-player video game,mouse; computer keyboard; gamepad; touchscreen
Mass Effect,Q275960,science fiction video game; space opera video game; role-playing video game; video game with LGBT character; LGBTI+ related video game; third-person shooter; action role-playing game,Xbox 360; Microsoft Windows; Xbox One; PlayStation 3; PlayStation 4,single-player video game,mouse; computer keyboard; gamepad
Halo: Combat Evolved,Q276217,first-person shooter,Xbox; Xbox 360; Microsoft Windows; Xbox One; Xbox Series X and Series S; macOS,co-op mode; single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Ruff 'n' Tumble,Q276591,science fiction video game; platform game,Commodore Amiga,single-player video game,
Tears to Tiara,Q276744,harem; visual novel; eroge,Microsoft Windows; PlayStation 3,,
Catherine,Q277377,action-adventure game; psychological horror; LGBTI+ related video game; video game with LGBT character; puzzle video game; survival horror; platform game,PlayStation Vita; Xbox 360; Microsoft Windows; personal computer; Nintendo Switch; PlayStation 3; PlayStation 4,single-player video game; multiplayer video game,gamepad
9Dragons,Q277404,massively multiplayer online role-playing game,Microsoft Windows,multiplayer video game; online game,computer keyboard
Amazing Tater,Q278227,puzzle video game,Game Boy,single-player video game,
Keyboardmania,Q278270,music video game,PlayStation 2,,musical keyboard
Colin McRae Rally 3,Q278564,racing video game,Microsoft Windows; PlayStation 2; Xbox,single-player video game,
Bloodstone: An Epic Dwarven Tale,Q278608,role-playing video game,DOS,single-player video game,computer keyboard
Worms,Q278771,strategy video game; artillery game,DOS; Super Nintendo Entertainment System; Sega Saturn; Game Boy Color; Game Boy; Atari Jaguar; Microsoft Windows; Sega Genesis; Commodore Amiga; PlayStation,single-player video game; multiplayer video game,mouse
Portal 2,Q279446,science fiction video game; post-apocalyptic video game; first-person shooter; puzzle video game,Linux; Xbox 360; Microsoft Windows; PlayStation 3; macOS,co-op mode; single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Half-Life,Q279744,science fiction video game; first-person shooter,Microsoft Windows; PlayStation 2; Linux; macOS,single-player video game; multiplayer video game,mouse; computer keyboard; gamepad
Dizzy Prince of the Yolkfolk,Q279938,action-adventure game,DOS; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Nintendo Entertainment System; Atari ST,single-player video game,
Hamlet,Q280104,indie game; adventure game,Microsoft Windows; Android; iOS,single-player video game,computer keyboard; touchscreen
Kingdom Hearts: Birth by Sleep,Q281110,crossover fiction; action role-playing game; role-playing video game,PlayStation 3; PlayStation Portable,single-player video game; multiplayer video game,
Need for Speed: The Run,Q281246,racing video game,Nintendo 3DS; Wii; Xbox 360; Microsoft Windows; PlayStation 3,single-player video game; multiplayer video game,computer keyboard
Killzone: Liberation,Q281392,third-person shooter,PlayStation Portable; PlayStation 4,single-player video game; multiplayer video game,
Battletank,Q281924,simulation video game,Nintendo Entertainment System,single-player video game,
TimeSplitters 2,Q282008,science fantasy video game; first-person shooter,PlayStation 2; Xbox; Nintendo GameCube,co-op mode; single-player video game; multiplayer video game,gamepad
Maken X,Q282450,action game,PlayStation 2; Dreamcast,single-player video game,
LittleBigPlanet,Q282548,science fantasy video game; platform game; puzzle video game,PlayStation Portable,single-player video game,
Legacy of Kain: Soul Reaver,Q282623,action-adventure game,Microsoft Windows; Dreamcast; PlayStation,single-player video game,gamepad
Fade to Black,Q282941,science fiction video game; action-adventure game; cyberpunk video game,DOS; Dreamcast; PlayStation Portable; PlayStation,single-player video game,
Sonic R,Q282945,racing video game,Microsoft Windows; Sega Saturn,single-player video game; multiplayer video game,gamepad
Screamer 4x4,Q283211,racing video game,Microsoft Windows,single-player video game; multiplayer video game,racing wheel
Knuckle Heads,Q283761,fighting game,arcade video game machine,single-player video game; multiplayer video game,joystick
Halo: Reach,Q283878,first-person shooter,Microsoft Windows; Xbox 360,co-op mode; single-player video game; multiplayer video game,Xbox 360 controller
Stunt Race FX,Q284064,racing video game,Super Nintendo Entertainment System,single-player video game; multiplayer video game,
Hexen II,Q284203,first-person shooter,Microsoft Windows; Linux; macOS; Classic Mac OS,co-op mode; single-player video game; multiplayer video game,mouse; computer keyboard
flOw,Q284928,life simulation game,PlayStation Vita; PlayStation Portable; Adobe Flash; PlayStation 3; PlayStation 4,single-player video game; multiplayer video game,
Growl,Q285065,beat 'em up,Sega Genesis; arcade video game machine,co-op mode; single-player video game,
eJay,Q285150,music video game,PlayStation 2,,
Syphon Filter: The Omega Strain,Q285208,stealth game; third-person shooter,PlayStation 2,single-player video game; multiplayer video game,DualShock
Panic Restaurant,Q285402,platform game,Nintendo Entertainment System,single-player video game,
Ef: A Fairy Tale of the Two,Q285449,eroge; visual novel,Microsoft Windows; PlayStation 2,,
4x4 EVO 2,Q285827,racing video game,Classic Mac OS; Xbox; Microsoft Windows; PlayStation 2; Nintendo GameCube,single-player video game; multiplayer video game,
True Tears,Q286051,visual novel,Microsoft Windows; PlayStation 2,,
Dracula Unleashed,Q286165,video game with LGBT character; adventure game,Microsoft Windows; Sega Genesis; Classic Mac OS,single-player video game,
Wipeout,Q286205,racing video game,Microsoft Windows; DOS; Android; PlayStation,single-player video game; multiplayer video game,touchscreen
NBA Elite 11,Q286305,basketball video game,iOS,single-player video game; multiplayer video game,touchscreen
The Path,Q286737,psychological horror; indie game,Microsoft Windows; macOS,single-player video game,computer keyboard
Destroy All Humans! 2,Q287276,science fiction video game; third-person shooter,PlayStation 2; Xbox,single-player video game; multiplayer video game,
Gemini Rue,Q287330,cyberpunk video game; indie game; neo-noir; adventure game,Android; Linux; Microsoft Windows; iOS; macOS,single-player video game,mouse; touchscreen
De Blob,Q287409,platform game; puzzle video game,"Wii; BlackBerry OS; Android; Microsoft Windows; Xbox One; iOS; Binary Runtime Environment for Wireless; Windows Phone; Nintendo Switch; Java Platform, Micro Edition; PlayStation 4",single-player video game; multiplayer video game,Wii Remote; touchscreen
Eye of the Beholder II: The Legend of Darkmoon,Q287600,fantasy video game; role-playing video game,DOS; Linux; Microsoft Windows; FM Towns; Commodore Amiga; Amiga 1200; NEC PC-9800 series; macOS,single-player video game,computer keyboard
The Witcher,Q287637,fantasy video game; action role-playing game,Microsoft Windows; macOS,single-player video game,mouse; computer keyboard
dnd,Q287985,dungeon crawl; role-playing video game,PLATO,,
Spider-Man,Q288296,beat 'em up,Nintendo 64; Game Boy Color; Microsoft Windows; PlayStation; Macintosh operating systems; Dreamcast,single-player video game,computer keyboard; gamepad
One Piece: Birth of Luffy's Dream Pirate Crew!,Q288346,tactical role-playing game,Game Boy Color,,
Silent Hill: Downpour,Q288596,psychological horror,PlayStation 3; Xbox 360,single-player video game,gamepad
Dragon Buster,Q288754,dungeon crawl; platform game; action role-playing game; role-playing video game,Nintendo Entertainment System; arcade video game machine; MSX,,joystick
Batman: Arkham City,Q288811,stealth game; action-adventure game; beat 'em up; science fantasy video game,Xbox 360; Microsoft Windows; Xbox One; PlayStation 4; PlayStation 3; Wii U; macOS,single-player video game,mouse; computer keyboard; gamepad
G.I. Joe: The Rise of Cobra,Q288884,action game,Wii; Xbox 360; PlayStation 2; PlayStation 3; Nintendo DS,,gamepad
Operation Wolf,Q288958,arcade-style video game; shoot 'em up; light-gun shooter,DOS; TurboGrafx-16; Sega Master System; Amstrad CPC; ZX Spectrum; Commodore Amiga; Commodore 64; Nintendo Entertainment System; Atari ST; MSX,single-player video game,gamepad
Radar Rat Race,Q289109,maze video game,Commodore VIC-20; Commodore 64,single-player video game,joystick
Super Monkey Ball,Q289882,platform game,Windows Phone; iOS; N-Gage; Nintendo GameCube,single-player video game; multiplayer video game,
Space Channel 5,Q290136,music video game,PlayStation 2; Dreamcast,single-player video game; multiplayer video game,gamepad
Quake 4,Q290534,science fiction video game; biopunk; first-person shooter,Xbox; Linux; Xbox 360; Microsoft Windows; macOS,single-player video game; multiplayer video game,computer keyboard
Legends of Wrestling II,Q290981,fighting game,PlayStation 2; Xbox; Nintendo GameCube,single-player video game; multiplayer video game,
Ilomilo,Q292089,puzzle video game,Microsoft Windows; Windows Phone; Xbox 360,single-player video game; multiplayer video game,
APB: All Points Bulletin,Q296101,action-adventure game; third-person shooter,Microsoft Windows; PlayStation 4,multiplayer video game,mouse; computer keyboard
ARMA 2,Q296744,third-person shooter; first-person shooter,Microsoft Windows,single-player video game; multiplayer video game,computer keyboard
A Boy and His Blob: Trouble on Blobolonia,Q300339,Metroidvania; puzzle video game,Nintendo Entertainment System,single-player video game,game controller
A Mind Forever Voyaging,Q300483,interactive fiction,Classic Mac OS; DOS; Apple II series; Commodore 128; Commodore Amiga; MS-DOS; Atari ST,single-player video game,computer keyboard
A Second Face,Q300548,adventure game,Microsoft Windows,single-player video game,
A Tale in the Desert,Q300580,massively multiplayer online role-playing game,Microsoft Windows; Linux; macOS,multiplayer video game,computer keyboard
Shattered Union,Q301410,turn-based tactics,Microsoft Windows; Xbox,single-player video game; multiplayer video game,computer keyboard
PowerPlay Manager,Q301428,sports video game; massively multiplayer browser role-playing game,web browser,,
Costume Quest,Q302120,role-playing video game; halloween video game; adventure game,Android; Linux; Microsoft Windows; iOS; PlayStation 3; macOS,single-player video game,touchscreen
Darkest Hour: A Hearts of Iron Game,Q302319,real-time strategy; grand strategy wargame,Microsoft Windows,single-player video game; multiplayer video game,
BioShock 2,Q302839,first-person shooter,Microsoft Windows; PlayStation 3; macOS; Xbox 360,single-player video game; multiplayer video game,computer keyboard
Lords of the Realm III,Q304003,real-time strategy,Microsoft Windows,single-player video game; multiplayer video game,computer keyboard
Kyo Kara Maoh!,Q304061,fantasy anime and manga; adventure anime and manga,Microsoft Windows,,
Empire Earth II,Q304258,real-time strategy,Microsoft Windows,single-player video game; multiplayer video game,computer keyboard
Bureaucracy,Q304643,interactive fiction,Classic Mac OS; DOS; Commodore 128; Commodore Amiga; Atari ST,single-player video game,computer keyboard
Deepolis,Q305027,,web browser,multiplayer online game,
Narcissu,Q306348,visual novel,Microsoft Windows; Linux; macOS,single-player video game,computer keyboard
Eden*,Q307199,science fiction video game; drama anime and manga; eroge; visual novel; science fiction anime and manga; romance anime and manga,Microsoft Windows,single-player video game,
Ai Sp@ce,Q307210,,Microsoft Windows,single-player video game; multiplayer video game,
GrimGrimoire,Q307273,real-time strategy; video game with LGBT character,PlayStation 2; PlayStation 3,single-player video game,
gbrainy,Q307397,puzzle video game,Microsoft Windows; Linux,,
osu!,Q307441,rhythm game; indie game; music video game,Android; Linux; Microsoft Windows; iOS; macOS,player versus player,computer keyboard; pointing device; graphic tablet; touchscreen; mouse
H2O: Footprints in the Sand,Q307507,eroge; visual novel; crossover fiction,Microsoft Windows; PlayStation 2,,
Narcissu: Side 2nd,Q308159,visual novel,cross-platform,single-player video game,computer keyboard
Call of Duty 3,Q308961,first-person shooter,Xbox; Wii; Xbox 360; PlayStation 2; PlayStation 3,single-player video game; multiplayer video game,
Killer7,Q310003,shoot 'em up,Microsoft Windows; PlayStation 2; personal computer; Nintendo GameCube,single-player video game,
RFactor,Q310422,racing video game,Microsoft Windows,single-player video game; multiplayer video game,joystick
Luxor 2,Q315256,puzzle video game,Wii; Microsoft Windows; PlayStation 2; Nintendo DS; macOS,single-player video game,gamepad
Luxor 3,Q315260,puzzle video game,Microsoft Windows; macOS; Wii,single-player video game,mouse
Tomb Raider,Q317620,action-adventure game,DOS; Sega Saturn; PlayStation 5; Android; Microsoft Windows; Pocket PC; iOS; Xbox One; PlayStation; Nintendo Switch; PlayStation 4; MS-DOS; N-Gage; Xbox Series X and Series S; macOS,single-player video game,touchscreen
Dishonored,Q323264,stealth game; action-adventure game,Xbox 360; Microsoft Windows; Xbox One; PlayStation 3; PlayStation 4,single-player video game,mouse; computer keyboard; gamepad
